2026-07-22	Regular Meeting of the Board of Education 1 00 PM
2026-01-13	Board of Education Workshop 6 00 P.M
2026-02-03	Board of Education Workshop 6 00 PM
2026-04-07	Board of Education Workshop 6 15 PM
2026-04-28	Board of Education Workshop 6 00 PM
2026-06-01	Board of Education Workshop 6 00 PM
2026-03-17	Regular Meeting of the Board of Education 7 00 PM
2026-06-16	Regular Meeting of the Board of Education 7 00 PM
2025-04-01	Board of Education Workshop 6 00 PM
2025-04-22	Regular Meeting of the Board of Education 7 00 PM
2025-06-03	Board of Education Workshop 6 00 P.M
2025-10-07	Board of Education Workshop 6 00 P.M
2025-12-09	Board of Education Workshop 6 00 P.M
2024-01-16	Organizational and Regular Meeting of the Board of Education 7 00 PM
2024-03-19	Regular Meeting of the Board of Education 7 00 PM
2024-06-20	Regular Meeting of the Board of Education 7 00 PM
2024-09-17	Regular Meeting of the Board of Education 7 00 PM
2024-10-15	Regular Meeting of the Board of Education 7 00 PM
2024-11-19	Regular Meeting of the Board of Education 7 00 PM
2024-12-17	Regular Meeting of the Board of Education 7 00 PM
2024-02-27	Regular Meeting of the Board of Education 7 00 PM
2025-03-04	Board of Education Workshop 6 00 PM
2025-06-17	Regular Meeting of the Board of Education 7 00 PM
2025-09-02	Board of Education Workshop 6 00 P.M
2025-09-16	Regular Meeting of the Board of Education 7 00 PM
2025-11-11	Board of Education Workshop 6 00 P.M
2026-01-20	Organizational and Regular Meeting of the Board of Education 7 00 PM
2026-04-21	Regular Meeting of the Board of Education 7 00 PM
2025-02-25	Regular Meeting of the Board of Education 7 00 PM
2025-11-18	Regular Meeting of the Board of Education 7 00 PM
2025-01-21	Organizational and Regular Meeting of the Board of Education 7 00 PM
2025-12-16	Regular Meeting of the Board of Education 7 00 PM
2025-03-08	Board of Education Winter Retreat 8 30 AM
2025-02-11	Board of Education Workshop 6 00 PM
2026-05-19	Regular Meeting of the Board of Education 7 00 PM
2024-04-16	Regular Meeting of the Board of Education 7 00 PM
2024-05-21	Regular Meeting of the Board of Education 7 00 PM
2025-03-18	Regular Meeting of the Board of Education 7 00 PM
2025-05-20	Regular Meeting of the Board of Education 7 00 PM
2025-10-14	Regular Meeting of the Board of Education 7 00 PM
2026-02-24	Regular Meeting of the Board of Education 7 00 PM
2026-08-18	Regular Meeting of the Board of Education 6 00 PM
2026-09-01	Board of Education Workshop 6 00 PM
